stock_ticker,price_change,recommendation_id,previous_close,latest_close,sentiment_summary,timestamp,experiment_day
NVDA,1.8981217069195495,lFll8fW4muNrrP1OHXtI,115.43000030517578,117.62100219726562,"{'negative': 226.40670000000006, 'neutral': 207.3585999999999, 'positive': 252.9984999999998}",2025-03-19T17:01:59.349944,56
AAPL,0.23888448813228752,nqefQy6XWhGIyY9ji1mA,213.49000549316406,214.0,"{'negative': 225.9094999999999, 'neutral': 247.53580000000014, 'positive': 225.82690000000005}",2025-03-17T21:55:48.747675,54
NVO,-1.0500211475582832,VxkToUCJd4gP0ZXNjW7I,90.94999694824219,89.99500274658203,"{'negative': 115.9263, 'neutral': 216.07609999999963, 'positive': 68.5411}",2025-02-26T18:04:22.354461,35
NVDA,-6.105137098876231,tNbRcA5NegMGHGAjyZ0e,114.33000183105469,107.3499984741211,"{'negative': 336.8204000000003, 'neutral': 315.7914000000001, 'positive': 330.1542}",2025-04-10T21:56:08.562360,78
MSFT,-1.0115674468692575,gzpsEOGRFYWxscLByIPI,357.8599853515625,354.239990234375,"{'negative': 298.2393000000003, 'neutral': 289.1769000000001, 'positive': 382.46510000000046}",2025-04-08T21:56:14.513981,76
MSFT,0.15641853210582715,vwmiugbRiPFZgo7tka6M,389.9700012207031,390.5799865722656,"{'negative': 243.3464, 'neutral': 249.60290000000003, 'positive': 333.08620000000025}",2025-03-27T22:12:02.041884,64
MSFT,-0.013079304181017569,fSsBdEEPUgGaCFFz0YQE,382.19000244140625,382.1400146484375,"{'negative': 267.87210000000005, 'neutral': 270.69500000000005, 'positive': 358.8703000000003}",2025-04-02T23:03:08.381917,70
TSLA,5.935622106796519,CG9PZHtrzdkjViy3HV77,237.97000122070312,252.09500122070312,"{'negative': 434.42250000000007, 'neutral': 533.5938000000006, 'positive': 210.76589999999985}",2025-04-23T21:55:35.117493,90
AAPL,2.791126862381601,hGy9d2IJysXZqsF4ihDz,199.74000549316406,205.31500244140625,"{'negative': 419.23520000000025, 'neutral': 411.8651000000005, 'positive': 345.59270000000004}",2025-04-23T21:55:44.685994,90
AAPL,0.0,i1r0Tqh7OTE9367YJQsO,,,"{'negative': 95.73349999999999, 'neutral': 106.67100000000002, 'positive': 101.16280000000005}",2025-02-19T11:39:16.550525,20
AAPL,1.9039570427104382,cAuZFHR8Q1osJbG1PJhZ,236.8699951171875,241.37989807128906,"{'negative': 75.46270000000001, 'neutral': 71.30499999999999, 'positive': 67.04249999999998}",2025-02-13T21:56:08.788583,14
NVO,1.552344897198998,rBpW2uRBTV2iBblEuh2t,89.22000122070312,90.6050033569336,"{'negative': 128.5385, 'neutral': 245.1820999999995, 'positive': 76.20649999999998}",2025-02-28T21:56:11.300203,37
AAPL,-3.8587133052881812,bV5O5VrNau4SNDI6MSPM,202.13999938964844,194.33999633789062,"{'negative': 372.7805000000002, 'neutral': 385.5712000000004, 'positive': 329.1355000000002}",2025-04-16T21:55:59.175137,84
NVDA,0.7679907850233934,Hlp3VjONhBKpLXzEstoC,123.69999694824219,124.6500015258789,"{'negative': 3.6894, 'neutral': 5.4971000000000005, 'positive': 9.1066}",2025-01-31T12:08:51.993055,1
NVDA,18.411209933202,nFNyigUkbjgESfGkZcDt,96.30000305175781,114.02999877929688,"{'negative': 328.2751000000003, 'neutral': 310.62420000000003, 'positive': 328.35360000000003}",2025-04-09T21:56:21.164082,77
NVDA,3.03212657741687,Ml2M34OvhJD8RCHyTHpy,124.83000183105469,128.61500549316406,"{'negative': 31.73070000000001, 'neutral': 38.967999999999996, 'positive': 50.5101}",2025-02-06T21:56:01.576229,7
NVDA,-3.6742894303966946,ChEw89HMd7JH3I8Ky9XV,124.6500015258789,120.06999969482422,"{'negative': 7.254, 'neutral': 14.194800000000003, 'positive': 14.5835}",2025-02-01T01:45:36.039402,2
NVO,2.0871591536571215,4zMPk1IRxTbDaAkzLgRP,65.16000366210938,66.5199966430664,"{'negative': 307.76240000000024, 'neutral': 626.5650999999998, 'positive': 237.75270000000003}",2025-04-30T21:56:20.699060,90
AAPL,1.2710666748373705,eyCqTVKWRnCgYeygMklu,241.52999877929688,244.60000610351562,"{'negative': 81.19709999999999, 'neutral': 89.21660000000001, 'positive': 78.6866}",2025-02-17T21:55:45.916791,18
NVDA,0.6320512172783461,72hkI2dQOtqyJjoIbrdi,139.22999572753906,140.11000061035156,"{'negative': 111.23849999999999, 'neutral': 94.15869999999993, 'positive': 145.67390000000006}",2025-02-20T22:31:45.379992,29
MSFT,0.3278964016598114,biqQyBFG6dTI5B3CopLP,414.7699890136719,416.1300048828125,"{'negative': 102.99069999999993, 'neutral': 105.45269999999998, 'positive': 153.57750000000004}",2025-02-20T22:31:37.417837,29
NVO,2.219999723655714,DYtk3NQ2sw2hMGgQJsfI,59.90999984741211,61.2400016784668,"{'negative': 294.02230000000026, 'neutral': 592.4619999999999, 'positive': 214.98989999999995}",2025-04-23T21:56:12.250341,90
NVDA,1.8106179783115806,mLW3BIrQKIs95t1LNUeF,115.43000030517578,117.5199966430664,"{'negative': 228.06250000000006, 'neutral': 214.47949999999992, 'positive': 259.7530999999999}",2025-03-20T07:30:45.553759,57
MSFT,0.03603424164022088,CKMMuDMdHeQYdqLtaLHe,388.55999755859375,388.70001220703125,"{'negative': 207.46010000000004, 'neutral': 199.64579999999998, 'positive': 278.15810000000016}",2025-03-17T21:55:57.533358,54
AAPL,0.33118142422452707,uetjqy7V6kgxm3Q21zZH,232.47000122070312,233.23989868164062,"{'negative': 43.09780000000001, 'neutral': 35.9131, 'positive': 45.448599999999985}",2025-02-06T21:55:45.834511,7
AAPL,1.9091343637602982,71yqN9WdE5EHOxiYHDnd,217.89999389648438,222.05999755859375,"{'negative': 297.78830000000005, 'neutral': 303.6174000000004, 'positive': 276.86380000000014}",2025-03-31T21:55:50.927661,68
NVDA,1.5224225573846566,u6JPw5V6QhCRFv2BlVRo,108.37999725341797,110.02999877929688,"{'negative': 277.95140000000015, 'neutral': 281.8599000000001, 'positive': 300.62190000000004}",2025-04-01T21:56:19.086907,69
AAPL,-0.529641033522759,ew9LKMJL5sAI0xQUyxKS,215.24000549316406,214.10000610351562,"{'negative': 253.3830999999998, 'neutral': 260.0256000000001, 'positive': 239.10710000000006}",2025-03-20T21:55:55.945338,57
AAPL,1.3717986449391317,4IBL7f2NxIoGu5XeSnOq,194.27000427246094,196.93499755859375,"{'negative': 380.5372000000002, 'neutral': 392.69960000000043, 'positive': 332.8877000000001}",2025-04-17T22:05:45.308529,85
MSFT,1.0077755691152106,DxSk0BTQ0uoCHIrsGq3H,383.5199890136719,387.385009765625,"{'negative': 209.12710000000004, 'neutral': 206.6864999999999, 'positive': 286.3555000000002}",2025-03-19T17:01:50.679583,56
NVO,-1.334803159520327,RmA6O52yZPE6Bm4FNxbU,90.6500015258789,89.44000244140625,"{'negative': 133.38569999999999, 'neutral': 256.3429999999996, 'positive': 77.06289999999997}",2025-03-03T21:56:19.375409,40
